name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
TCS,3.8,(60.2k Reviews),Public,"Mumbai,Maharashtra + 278 more",55 years old,1 Lakh+ Employees (India)
Accenture,4.1,(38.5k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(35k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(28.6k Reviews),Public,"Mumbai,Maharashtra + 1163 more",29 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
HDFC Bank,3.9,(27.9k Reviews),Public,"Mumbai,Maharashtra + 1390 more",29 years old,1 Lakh+ Employees (India)
Infosys,3.9,(26.2k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 134 more",42 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.6k Reviews),Public,Paris + 82 more,56 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(22.9k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
Genpact,4.0,(22.2k Reviews),Public,"New York,New York + 76 more",26 years old,1 Lakh+ Employees (India)
HCLTech,3.8,(21.8k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(18.8k Reviews),Public,"Mumbai,Maharashtra + 1196 more",30 years old,50k-1 Lakh Employees (India)
Concentrix Corpo...,4.0,(17.6k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
IBM,4.1,(17.5k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
Reliance Jio,4.0,(17k Reviews),Public,"Navi Mumbai,Maharashtra + 1065 more",16 years old,50k-1 Lakh Employees (India)
Amazon,4.2,(16.8k Reviews),Public,"Seattle,Washington + 385 more",29 years old,1 Lakh+ Employees (India)
Larsen & Toubro ...,4.0,(16.2k Reviews),Public,"Mumbai,Maharashtra + 561 more",85 years old,1 Lakh+ Employees (India)
HDB Financial Se...,4.0,(15.2k Reviews),Private,"Ahmedabad,Gujrat + 867 more",16 years old,10k-50k Employees (India)
Reliance Retail,4.0,(14.4k Reviews),Private,"Navi Mumbai,Maharashtra + 844 more",17 years old,1 Lakh+ Employees (India)
Teleperformance,3.6,(14.1k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
Vodafone Idea,4.2,(14k Reviews),Public,"Gandhinagar,Gujrat + 592 more",5 years old,10k-50k Employees (India)
Deloitte,4.0,(11.9k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
Kotak Mahindra B...,3.8,(11.8k Reviews),Public,"Mumbai,Maharashtra + 503 more",20 years old,10k-50k Employees (India)
BYJU'S,3.2,(11.5k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
Reliance Industr...,4.0,(11.1k Reviews),Public,"Navi Mumbai,Maharashtra + 560 more",46 years old,
Bharti Airtel,4.0,(10.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 575 more",28 years old,10k-50k Employees (India)
Tata Motors,4.2,(9.7k Reviews),Public,"Pune,Maharashtra + 403 more",78 years old,10k-50k Employees (India)
Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 483 more",16 years old,10k-50k Employees (India)
Ernst & Young,3.7,(8.1k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
WNS,3.6,(8.1k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
IndusInd Bank,3.8,(7.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 617 more",29 years old,10k-50k Employees (India)
Mahindra & Mahin...,4.2,(7.6k Reviews),Public,"Mumbai,Maharashtra + 430 more",78 years old,1 Lakh+ Employees (India)
DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 56 more",6 years old,10k-50k Employees (India)
Infosys BPM,3.9,(6.9k Reviews),"Bangalore/Bengaluru,Karnataka + 52 more",21 years old,10k-50k Employees (India),
IDFC FIRST Bank,4.0,(6.5k Reviews),Public,"Mumbai,Maharashtra + 481 more",5 years old,10k-50k Employees (India)
Maruti Suzuki,4.2,(6.5k Reviews),Public,"New Delhi,Delhi + 387 more",40 years old,10k-50k Employees (India)
Hinduja Global S...,4.0,(6.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 84 more",23 years old,10k-50k Employees (India)
Bajaj Finserv,4.0,(6.1k Reviews),Public,"Pune,Maharashtra + 759 more",16 years old,10k-50k Employees (India)
HSBC Group,4.1,(6.1k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,10k-50k Employees (India)
Conneqt Business...,3.7,(6k Reviews),Private,"Mumbai,Maharashtra + 178 more",21 years old,10k-50k Employees (India)
Ericsson,4.3,(5.8k Reviews),Private,"Stockholm,Stockholm County + 138 more",147 years old,10k-50k Employees (India)
Mphasis,3.6,(5.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 40 more",25 years old,10k-50k Employees (India)
